Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Race
0 days 01:03:13.785000,VER,1,0 days 00:01:36.296000,2.0,1.0,,,0 days 00:00:30.916000,0 days 00:00:41.661000,0 days 00:00:23.719000,0 days 01:02:08.426000,0 days 01:02:50.087000,0 days 01:03:13.806000,232.0,248.0,276.0,287.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:01:37.489000,2024-03-02 15:05:19.920,1,1.0,False,,False,True,bahrain_2024
0 days 01:04:50.538000,VER,1,0 days 00:01:36.753000,3.0,1.0,,,0 days 00:00:30.999000,0 days 00:00:41.966000,0 days 00:00:23.788000,0 days 01:03:44.805000,0 days 01:04:26.771000,0 days 01:04:50.559000,231.0,243.0,276.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:03:13.785000,2024-03-02 15:06:56.216,1,1.0,False,,False,True,bahrain_2024
0 days 01:06:27.185000,VER,1,0 days 00:01:36.647000,4.0,1.0,,,0 days 00:00:30.931000,0 days 00:00:41.892000,0 days 00:00:23.824000,0 days 01:05:21.490000,0 days 01:06:03.382000,0 days 01:06:27.206000,233.0,253.0,276.0,290.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:04:50.538000,2024-03-02 15:08:32.969,1,1.0,False,,False,True,bahrain_2024
0 days 01:08:04.358000,VER,1,0 days 00:01:37.173000,5.0,1.0,,,0 days 00:00:31.255000,0 days 00:00:42.056000,0 days 00:00:23.862000,0 days 01:06:58.461000,0 days 01:07:40.517000,0 days 01:08:04.379000,231.0,245.0,276.0,289.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:06:27.185000,2024-03-02 15:10:09.616,1,1.0,False,,False,True,bahrain_2024
0 days 01:09:41.450000,VER,1,0 days 00:01:37.092000,6.0,1.0,,,0 days 00:00:31.041000,0 days 00:00:42.187000,0 days 00:00:23.864000,0 days 01:08:35.420000,0 days 01:09:17.607000,0 days 01:09:41.471000,231.0,247.0,276.0,296.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:08:04.358000,2024-03-02 15:11:46.789,1,1.0,False,,False,True,bahrain_2024
0 days 01:11:18.488000,VER,1,0 days 00:01:37.038000,7.0,1.0,,,0 days 00:00:31.015000,0 days 00:00:42.118000,0 days 00:00:23.905000,0 days 01:10:12.486000,0 days 01:10:54.604000,0 days 01:11:18.509000,232.0,242.0,277.0,291.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:09:41.450000,2024-03-02 15:13:23.881,1,1.0,False,,False,True,bahrain_2024
0 days 01:12:55.512000,VER,1,0 days 00:01:37.024000,8.0,1.0,,,0 days 00:00:31.041000,0 days 00:00:42.077000,0 days 00:00:23.906000,0 days 01:11:49.550000,0 days 01:12:31.627000,0 days 01:12:55.533000,231.0,250.0,277.0,291.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:11:18.488000,2024-03-02 15:15:00.919,1,1.0,False,,False,True,bahrain_2024
0 days 01:14:32.741000,VER,1,0 days 00:01:37.229000,9.0,1.0,,,0 days 00:00:31.100000,0 days 00:00:42.166000,0 days 00:00:23.963000,0 days 01:13:26.633000,0 days 01:14:08.799000,0 days 01:14:32.762000,231.0,243.0,276.0,292.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:12:55.512000,2024-03-02 15:16:37.943,1,1.0,False,,False,True,bahrain_2024
0 days 01:19:23.831000,VER,1,0 days 00:01:37.045000,12.0,1.0,,,0 days 00:00:30.966000,0 days 00:00:42.091000,0 days 00:00:23.988000,0 days 01:18:17.773000,0 days 01:18:59.864000,0 days 01:19:23.852000,234.0,249.0,277.0,292.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:17:46.786000,2024-03-02 15:21:29.217,1,1.0,False,,False,True,bahrain_2024
0 days 01:21:00.861000,VER,1,0 days 00:01:37.030000,13.0,1.0,,,0 days 00:00:30.964000,0 days 00:00:42.055000,0 days 00:00:24.011000,0 days 01:19:54.816000,0 days 01:20:36.871000,0 days 01:21:00.882000,233.0,251.0,277.0,292.0,False,SOFT,16.0,False,Red Bull Racing,0 days 01:19:23.831000,2024-03-02 15:23:06.262,1,1.0,False,,False,True,bahrain_2024
0 days 01:22:37.889000,VER,1,0 days 00:01:37.028000,14.0,1.0,,,0 days 00:00:30.938000,0 days 00:00:42.042000,0 days 00:00:24.048000,0 days 01:21:31.820000,0 days 01:22:13.862000,0 days 01:22:37.910000,233.0,253.0,277.0,293.0,False,SOFT,17.0,False,Red Bull Racing,0 days 01:21:00.861000,2024-03-02 15:24:43.292,1,1.0,False,,False,True,bahrain_2024
0 days 01:24:14.900000,VER,1,0 days 00:01:37.011000,15.0,1.0,,,0 days 00:00:30.887000,0 days 00:00:42.058000,0 days 00:00:24.066000,0 days 01:23:08.797000,0 days 01:23:50.855000,0 days 01:24:14.921000,232.0,254.0,276.0,293.0,False,SOFT,18.0,False,Red Bull Racing,0 days 01:22:37.889000,2024-03-02 15:26:20.320,1,1.0,False,,False,True,bahrain_2024
0 days 01:25:52.068000,VER,1,0 days 00:01:37.168000,16.0,1.0,,,0 days 00:00:31.048000,0 days 00:00:42.032000,0 days 00:00:24.088000,0 days 01:24:45.969000,0 days 01:25:28.001000,0 days 01:25:52.089000,233.0,260.0,277.0,292.0,False,SOFT,19.0,False,Red Bull Racing,0 days 01:24:14.900000,2024-03-02 15:27:57.331,1,1.0,False,,False,True,bahrain_2024
0 days 01:31:05.101000,VER,1,0 days 00:01:35.283000,19.0,2.0,,,0 days 00:00:30.628000,0 days 00:00:41.162000,0 days 00:00:23.493000,0 days 01:30:00.467000,0 days 01:30:41.629000,0 days 01:31:05.122000,233.0,248.0,278.0,288.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:29:29.818000,2024-03-02 15:33:12.249,1,1.0,False,,False,True,bahrain_2024
0 days 01:32:40.261000,VER,1,0 days 00:01:35.160000,20.0,2.0,,,0 days 00:00:30.585000,0 days 00:00:41.100000,0 days 00:00:23.475000,0 days 01:31:35.707000,0 days 01:32:16.807000,0 days 01:32:40.282000,233.0,256.0,278.0,291.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:31:05.101000,2024-03-02 15:34:47.532,1,1.0,False,,False,True,bahrain_2024
0 days 01:34:15.577000,VER,1,0 days 00:01:35.316000,21.0,2.0,,,0 days 00:00:30.576000,0 days 00:00:41.240000,0 days 00:00:23.500000,0 days 01:33:10.858000,0 days 01:33:52.098000,0 days 01:34:15.598000,235.0,251.0,278.0,293.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:32:40.261000,2024-03-02 15:36:22.692,1,1.0,False,,False,True,bahrain_2024
0 days 01:35:50.781000,VER,1,0 days 00:01:35.204000,22.0,2.0,,,0 days 00:00:30.560000,0 days 00:00:41.142000,0 days 00:00:23.502000,0 days 01:34:46.158000,0 days 01:35:27.300000,0 days 01:35:50.802000,234.0,254.0,279.0,294.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:34:15.577000,2024-03-02 15:37:58.008,1,1.0,False,,False,True,bahrain_2024
0 days 01:37:25.997000,VER,1,0 days 00:01:35.216000,23.0,2.0,,,0 days 00:00:30.553000,0 days 00:00:41.145000,0 days 00:00:23.518000,0 days 01:36:21.355000,0 days 01:37:02.500000,0 days 01:37:26.018000,234.0,253.0,279.0,294.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:35:50.781000,2024-03-02 15:39:33.212,1,1.0,False,,False,True,bahrain_2024
0 days 01:39:01.286000,VER,1,0 days 00:01:35.289000,24.0,2.0,,,0 days 00:00:30.548000,0 days 00:00:41.257000,0 days 00:00:23.484000,0 days 01:37:56.566000,0 days 01:38:37.823000,0 days 01:39:01.307000,234.0,257.0,279.0,294.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:37:25.997000,2024-03-02 15:41:08.428,1,1.0,False,,False,True,bahrain_2024
0 days 01:40:36.628000,VER,1,0 days 00:01:35.342000,25.0,2.0,,,0 days 00:00:30.518000,0 days 00:00:41.282000,0 days 00:00:23.542000,0 days 01:39:31.825000,0 days 01:40:13.107000,0 days 01:40:36.649000,233.0,250.0,279.0,295.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:39:01.286000,2024-03-02 15:42:43.717,1,1.0,False,,False,True,bahrain_2024
0 days 01:42:11.851000,VER,1,0 days 00:01:35.223000,26.0,2.0,,,0 days 00:00:30.522000,0 days 00:00:41.140000,0 days 00:00:23.561000,0 days 01:41:07.171000,0 days 01:41:48.311000,0 days 01:42:11.872000,235.0,257.0,279.0,295.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:40:36.628000,2024-03-02 15:44:19.059,1,1.0,False,,False,True,bahrain_2024
0 days 01:43:47.432000,VER,1,0 days 00:01:35.581000,27.0,2.0,,,0 days 00:00:30.649000,0 days 00:00:41.338000,0 days 00:00:23.594000,0 days 01:42:42.521000,0 days 01:43:23.859000,0 days 01:43:47.453000,230.0,250.0,279.0,294.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:42:11.851000,2024-03-02 15:45:54.282,1,1.0,False,,False,True,bahrain_2024
0 days 01:45:22.909000,VER,1,0 days 00:01:35.477000,28.0,2.0,,,0 days 00:00:30.588000,0 days 00:00:41.272000,0 days 00:00:23.617000,0 days 01:44:18.041000,0 days 01:44:59.313000,0 days 01:45:22.930000,233.0,258.0,278.0,293.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:43:47.432000,2024-03-02 15:47:29.863,1,1.0,False,,False,True,bahrain_2024
0 days 01:46:58.702000,VER,1,0 days 00:01:35.793000,29.0,2.0,,,0 days 00:00:30.679000,0 days 00:00:41.485000,0 days 00:00:23.629000,0 days 01:45:53.609000,0 days 01:46:35.094000,0 days 01:46:58.723000,234.0,258.0,279.0,293.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:45:22.909000,2024-03-02 15:49:05.340,1,1.0,False,,False,True,bahrain_2024
0 days 01:48:34.473000,VER,1,0 days 00:01:35.771000,30.0,2.0,,,0 days 00:00:30.657000,0 days 00:00:41.470000,0 days 00:00:23.644000,0 days 01:47:29.380000,0 days 01:48:10.850000,0 days 01:48:34.494000,234.0,254.0,279.0,294.0,False,HARD,13.0,True,Red Bull Racing,0 days 01:46:58.702000,2024-03-02 15:50:41.133,1,1.0,False,,False,True,bahrain_2024
0 days 01:50:10.152000,VER,1,0 days 00:01:35.679000,31.0,2.0,,,0 days 00:00:30.635000,0 days 00:00:41.435000,0 days 00:00:23.609000,0 days 01:49:05.129000,0 days 01:49:46.564000,0 days 01:50:10.173000,234.0,260.0,279.0,295.0,False,HARD,14.0,True,Red Bull Racing,0 days 01:48:34.473000,2024-03-02 15:52:16.904,1,1.0,False,,False,True,bahrain_2024
0 days 01:51:46.038000,VER,1,0 days 00:01:35.886000,32.0,2.0,,,0 days 00:00:30.669000,0 days 00:00:41.519000,0 days 00:00:23.698000,0 days 01:50:40.842000,0 days 01:51:22.361000,0 days 01:51:46.059000,234.0,260.0,279.0,296.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:50:10.152000,2024-03-02 15:53:52.583,1,1.0,False,,False,True,bahrain_2024
0 days 01:53:21.901000,VER,1,0 days 00:01:35.863000,33.0,2.0,,,0 days 00:00:30.690000,0 days 00:00:41.459000,0 days 00:00:23.714000,0 days 01:52:16.749000,0 days 01:52:58.208000,0 days 01:53:21.922000,233.0,258.0,279.0,295.0,False,HARD,16.0,True,Red Bull Racing,0 days 01:51:46.038000,2024-03-02 15:55:28.469,1,1.0,False,,False,True,bahrain_2024
0 days 01:54:58.034000,VER,1,0 days 00:01:36.133000,34.0,2.0,,,0 days 00:00:30.685000,0 days 00:00:41.661000,0 days 00:00:23.787000,0 days 01:53:52.607000,0 days 01:54:34.268000,0 days 01:54:58.055000,233.0,261.0,279.0,296.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:53:21.901000,2024-03-02 15:57:04.332,1,1.0,False,,False,True,bahrain_2024
0 days 01:56:34.052000,VER,1,0 days 00:01:36.018000,35.0,2.0,,,0 days 00:00:30.727000,0 days 00:00:41.557000,0 days 00:00:23.734000,0 days 01:55:28.782000,0 days 01:56:10.339000,0 days 01:56:34.073000,234.0,260.0,279.0,295.0,False,HARD,18.0,True,Red Bull Racing,0 days 01:54:58.034000,2024-03-02 15:58:40.465,1,1.0,False,,False,True,bahrain_2024
0 days 01:58:10.257000,VER,1,0 days 00:01:36.205000,36.0,2.0,,,0 days 00:00:30.794000,0 days 00:00:41.561000,0 days 00:00:23.850000,0 days 01:57:04.867000,0 days 01:57:46.428000,0 days 01:58:10.278000,234.0,263.0,280.0,297.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:56:34.052000,2024-03-02 16:00:16.483,1,1.0,False,,False,True,bahrain_2024
0 days 02:03:18.544000,VER,1,0 days 00:01:32.608000,39.0,3.0,,,0 days 00:00:29.741000,0 days 00:00:39.916000,0 days 00:00:22.951000,0 days 02:02:15.698000,0 days 02:02:55.614000,0 days 02:03:18.565000,239.0,265.0,281.0,299.0,True,SOFT,2.0,True,Red Bull Racing,0 days 02:01:45.936000,2024-03-02 16:05:28.367,1,1.0,False,,False,True,bahrain_2024
0 days 02:04:55.133000,VER,1,0 days 00:01:36.589000,40.0,3.0,,,0 days 00:00:31.014000,0 days 00:00:42.023000,0 days 00:00:23.552000,0 days 02:03:49.579000,0 days 02:04:31.602000,0 days 02:04:55.154000,234.0,245.0,281.0,275.0,False,SOFT,3.0,True,Red Bull Racing,0 days 02:03:18.544000,2024-03-02 16:07:00.975,1,1.0,False,,False,True,bahrain_2024
0 days 02:06:30.423000,VER,1,0 days 00:01:35.290000,41.0,3.0,,,0 days 00:00:30.697000,0 days 00:00:41.281000,0 days 00:00:23.312000,0 days 02:05:25.851000,0 days 02:06:07.132000,0 days 02:06:30.444000,237.0,252.0,281.0,292.0,False,SOFT,4.0,True,Red Bull Racing,0 days 02:04:55.133000,2024-03-02 16:08:37.564,1,1.0,False,,False,True,bahrain_2024
0 days 02:08:05.090000,VER,1,0 days 00:01:34.667000,42.0,3.0,,,0 days 00:00:30.477000,0 days 00:00:40.996000,0 days 00:00:23.194000,0 days 02:07:00.921000,0 days 02:07:41.917000,0 days 02:08:05.111000,237.0,261.0,281.0,294.0,False,SOFT,5.0,True,Red Bull Racing,0 days 02:06:30.423000,2024-03-02 16:10:12.854,1,1.0,False,,False,True,bahrain_2024
0 days 02:09:39.241000,VER,1,0 days 00:01:34.151000,43.0,3.0,,,0 days 00:00:30.132000,0 days 00:00:40.772000,0 days 00:00:23.247000,0 days 02:08:35.243000,0 days 02:09:16.015000,0 days 02:09:39.262000,237.0,261.0,281.0,296.0,False,SOFT,6.0,True,Red Bull Racing,0 days 02:08:05.090000,2024-03-02 16:11:47.521,1,1.0,False,,False,True,bahrain_2024
0 days 02:11:13.772000,VER,1,0 days 00:01:34.531000,44.0,3.0,,,0 days 00:00:30.348000,0 days 00:00:40.805000,0 days 00:00:23.378000,0 days 02:10:09.610000,0 days 02:10:50.415000,0 days 02:11:13.793000,237.0,264.0,281.0,293.0,False,SOFT,7.0,True,Red Bull Racing,0 days 02:09:39.241000,2024-03-02 16:13:21.672,1,1.0,False,,False,True,bahrain_2024
0 days 02:12:48.021000,VER,1,0 days 00:01:34.249000,45.0,3.0,,,0 days 00:00:30.180000,0 days 00:00:40.825000,0 days 00:00:23.244000,0 days 02:11:43.973000,0 days 02:12:24.798000,0 days 02:12:48.042000,237.0,260.0,281.0,295.0,False,SOFT,8.0,True,Red Bull Racing,0 days 02:11:13.772000,2024-03-02 16:14:56.203,1,1.0,False,,False,True,bahrain_2024
0 days 02:14:22.214000,VER,1,0 days 00:01:34.193000,46.0,3.0,,,0 days 00:00:30.301000,0 days 00:00:40.682000,0 days 00:00:23.210000,0 days 02:13:18.343000,0 days 02:13:59.025000,0 days 02:14:22.235000,235.0,264.0,281.0,297.0,False,SOFT,9.0,True,Red Bull Racing,0 days 02:12:48.021000,2024-03-02 16:16:30.452,1,1.0,True,TRACK LIMITS AT TURN 4 LAP 46 ,False,True,bahrain_2024
0 days 02:15:56.453000,VER,1,0 days 00:01:34.239000,47.0,3.0,,,0 days 00:00:30.267000,0 days 00:00:40.704000,0 days 00:00:23.268000,0 days 02:14:52.502000,0 days 02:15:33.206000,0 days 02:15:56.474000,235.0,263.0,281.0,295.0,False,SOFT,10.0,True,Red Bull Racing,0 days 02:14:22.214000,2024-03-02 16:18:04.645,1,1.0,False,,False,True,bahrain_2024
0 days 02:17:30.803000,VER,1,0 days 00:01:34.350000,48.0,3.0,,,0 days 00:00:30.245000,0 days 00:00:40.738000,0 days 00:00:23.367000,0 days 02:16:26.719000,0 days 02:17:07.457000,0 days 02:17:30.824000,235.0,264.0,282.0,297.0,False,SOFT,11.0,True,Red Bull Racing,0 days 02:15:56.453000,2024-03-02 16:19:38.884,1,1.0,False,,False,True,bahrain_2024
0 days 02:19:05.206000,VER,1,0 days 00:01:34.403000,49.0,3.0,,,0 days 00:00:30.246000,0 days 00:00:40.804000,0 days 00:00:23.353000,0 days 02:18:01.070000,0 days 02:18:41.874000,0 days 02:19:05.227000,235.0,261.0,282.0,298.0,False,SOFT,12.0,True,Red Bull Racing,0 days 02:17:30.803000,2024-03-02 16:21:13.234,1,1.0,False,,False,True,bahrain_2024
0 days 02:20:39.989000,VER,1,0 days 00:01:34.783000,50.0,3.0,,,0 days 00:00:30.229000,0 days 00:00:40.928000,0 days 00:00:23.626000,0 days 02:19:35.456000,0 days 02:20:16.384000,0 days 02:20:40.010000,236.0,265.0,289.0,298.0,False,SOFT,13.0,True,Red Bull Racing,0 days 02:19:05.206000,2024-03-02 16:22:47.637,1,1.0,False,,False,True,bahrain_2024
0 days 02:22:14.329000,VER,1,0 days 00:01:34.340000,51.0,3.0,,,0 days 00:00:30.003000,0 days 00:00:40.834000,0 days 00:00:23.503000,0 days 02:21:10.013000,0 days 02:21:50.847000,0 days 02:22:14.350000,236.0,267.0,282.0,314.0,False,SOFT,14.0,True,Red Bull Racing,0 days 02:20:39.989000,2024-03-02 16:24:22.420,1,1.0,False,,False,True,bahrain_2024
0 days 02:23:49.235000,VER,1,0 days 00:01:34.906000,52.0,3.0,,,0 days 00:00:30.333000,0 days 00:00:40.919000,0 days 00:00:23.654000,0 days 02:22:44.683000,0 days 02:23:25.602000,0 days 02:23:49.256000,235.0,266.0,284.0,299.0,False,SOFT,15.0,True,Red Bull Racing,0 days 02:22:14.329000,2024-03-02 16:25:56.760,1,1.0,False,,False,True,bahrain_2024
0 days 02:25:24.835000,VER,1,0 days 00:01:35.600000,53.0,3.0,,,0 days 00:00:30.528000,0 days 00:00:41.382000,0 days 00:00:23.690000,0 days 02:24:19.784000,0 days 02:25:01.166000,0 days 02:25:24.856000,237.0,270.0,284.0,300.0,False,SOFT,16.0,True,Red Bull Racing,0 days 02:23:49.235000,2024-03-02 16:27:31.666,1,1.0,False,,False,True,bahrain_2024
0 days 02:27:00.169000,VER,1,0 days 00:01:35.334000,54.0,3.0,,,0 days 00:00:30.427000,0 days 00:00:41.227000,0 days 00:00:23.680000,0 days 02:25:55.283000,0 days 02:26:36.510000,0 days 02:27:00.190000,236.0,270.0,283.0,301.0,False,SOFT,17.0,True,Red Bull Racing,0 days 02:25:24.835000,2024-03-02 16:29:07.266,1,1.0,False,,False,True,bahrain_2024
0 days 02:28:35.353000,VER,1,0 days 00:01:35.184000,55.0,3.0,,,0 days 00:00:30.493000,0 days 00:00:41.220000,0 days 00:00:23.471000,0 days 02:27:30.683000,0 days 02:28:11.903000,0 days 02:28:35.374000,236.0,267.0,281.0,296.0,False,SOFT,18.0,True,Red Bull Racing,0 days 02:27:00.169000,2024-03-02 16:30:42.600,1,1.0,False,,False,True,bahrain_2024
0 days 02:30:10.024000,VER,1,0 days 00:01:34.671000,56.0,3.0,,,0 days 00:00:30.256000,0 days 00:00:40.870000,0 days 00:00:23.545000,0 days 02:29:05.630000,0 days 02:29:46.500000,0 days 02:30:10.045000,236.0,267.0,281.0,297.0,False,SOFT,19.0,True,Red Bull Racing,0 days 02:28:35.353000,2024-03-02 16:32:17.784,1,1.0,False,,False,True,bahrain_2024
0 days 02:31:44.947000,VER,1,0 days 00:01:34.923000,57.0,3.0,,,0 days 00:00:30.384000,0 days 00:00:40.910000,0 days 00:00:23.629000,0 days 02:30:40.429000,0 days 02:31:21.339000,0 days 02:31:44.968000,236.0,267.0,275.0,296.0,False,SOFT,20.0,True,Red Bull Racing,0 days 02:30:10.024000,2024-03-02 16:33:52.455,1,1.0,False,,False,True,bahrain_2024
0 days 01:03:16.799000,PER,11,0 days 00:01:36.541000,2.0,1.0,,,0 days 00:00:30.678000,0 days 00:00:41.867000,0 days 00:00:23.996000,0 days 01:02:10.958000,0 days 01:02:52.825000,0 days 01:03:16.821000,234.0,257.0,285.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:01:40.258000,2024-03-02 15:05:22.689,1,4.0,False,,False,True,bahrain_2024
0 days 01:04:54.096000,PER,11,0 days 00:01:37.297000,3.0,1.0,,,0 days 00:00:30.596000,0 days 00:00:42.478000,0 days 00:00:24.223000,0 days 01:03:47.417000,0 days 01:04:29.895000,0 days 01:04:54.118000,231.0,245.0,284.0,315.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:03:16.799000,2024-03-02 15:06:59.230,1,4.0,False,,False,True,bahrain_2024
0 days 01:06:31.818000,PER,11,0 days 00:01:37.722000,4.0,1.0,,,0 days 00:00:30.716000,0 days 00:00:42.623000,0 days 00:00:24.383000,0 days 01:05:24.834000,0 days 01:06:07.457000,0 days 01:06:31.840000,233.0,246.0,283.0,314.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:04:54.096000,2024-03-02 15:08:36.527,1,4.0,False,,False,True,bahrain_2024
0 days 01:08:09.862000,PER,11,0 days 00:01:38.044000,5.0,1.0,,,0 days 00:00:30.997000,0 days 00:00:42.754000,0 days 00:00:24.293000,0 days 01:07:02.837000,0 days 01:07:45.591000,0 days 01:08:09.884000,227.0,249.0,285.0,320.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:06:31.818000,2024-03-02 15:10:14.249,1,4.0,False,,False,True,bahrain_2024
0 days 01:09:47.685000,PER,11,0 days 00:01:37.823000,6.0,1.0,,,0 days 00:00:30.843000,0 days 00:00:42.702000,0 days 00:00:24.278000,0 days 01:08:40.727000,0 days 01:09:23.429000,0 days 01:09:47.707000,226.0,249.0,285.0,320.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:08:09.862000,2024-03-02 15:11:52.293,1,4.0,False,,False,True,bahrain_2024
0 days 01:11:25.506000,PER,11,0 days 00:01:37.821000,7.0,1.0,,,0 days 00:00:31.013000,0 days 00:00:42.682000,0 days 00:00:24.126000,0 days 01:10:18.720000,0 days 01:11:01.402000,0 days 01:11:25.528000,232.0,259.0,278.0,316.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:09:47.685000,2024-03-02 15:13:30.116,1,3.0,False,,False,True,bahrain_2024
0 days 01:13:03.344000,PER,11,0 days 00:01:37.838000,8.0,1.0,,,0 days 00:00:31.305000,0 days 00:00:42.428000,0 days 00:00:24.105000,0 days 01:11:56.833000,0 days 01:12:39.261000,0 days 01:13:03.366000,232.0,261.0,278.0,302.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:11:25.506000,2024-03-02 15:15:07.937,1,3.0,False,,False,True,bahrain_2024
0 days 01:14:40.940000,PER,11,0 days 00:01:37.596000,9.0,1.0,,,0 days 00:00:31.145000,0 days 00:00:42.395000,0 days 00:00:24.056000,0 days 01:13:34.511000,0 days 01:14:16.906000,0 days 01:14:40.962000,228.0,257.0,278.0,302.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:13:03.344000,2024-03-02 15:16:45.775,1,3.0,False,,False,True,bahrain_2024
0 days 01:17:56.406000,PER,11,0 days 00:01:37.836000,11.0,1.0,,,0 days 00:00:31.054000,0 days 00:00:42.473000,0 days 00:00:24.309000,0 days 01:16:49.646000,0 days 01:17:32.119000,0 days 01:17:56.428000,233.0,258.0,282.0,300.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:16:18.570000,2024-03-02 15:20:01.001,1,2.0,False,,False,True,bahrain_2024
0 days 01:23:09.913000,PER,11,0 days 00:01:35.606000,14.0,2.0,,,0 days 00:00:30.063000,0 days 00:00:41.855000,0 days 00:00:23.688000,0 days 01:22:04.392000,0 days 01:22:46.247000,0 days 01:23:09.935000,234.0,263.0,279.0,320.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:21:34.307000,2024-03-02 15:25:16.738,1,6.0,False,,False,True,bahrain_2024
0 days 01:24:46.728000,PER,11,0 days 00:01:36.815000,15.0,2.0,,,0 days 00:00:30.785000,0 days 00:00:41.795000,0 days 00:00:24.235000,0 days 01:23:40.720000,0 days 01:24:22.515000,0 days 01:24:46.750000,229.0,255.0,283.0,299.0,False,HARD,3.0,True,Red Bull Racing,0 days 01:23:09.913000,2024-03-02 15:26:52.344,1,3.0,False,,False,True,bahrain_2024
0 days 01:26:22.511000,PER,11,0 days 00:01:35.783000,16.0,2.0,,,0 days 00:00:30.569000,0 days 00:00:41.558000,0 days 00:00:23.656000,0 days 01:25:17.319000,0 days 01:25:58.877000,0 days 01:26:22.533000,228.0,256.0,277.0,316.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:24:46.728000,2024-03-02 15:28:29.159,1,2.0,False,,False,True,bahrain_2024
0 days 01:27:58.965000,PER,11,0 days 00:01:36.454000,17.0,2.0,,,0 days 00:00:30.922000,0 days 00:00:41.823000,0 days 00:00:23.709000,0 days 01:26:53.455000,0 days 01:27:35.278000,0 days 01:27:58.987000,228.0,258.0,278.0,294.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:26:22.511000,2024-03-02 15:30:04.942,1,2.0,False,,False,True,bahrain_2024
0 days 01:29:35.276000,PER,11,0 days 00:01:36.311000,18.0,2.0,,,0 days 00:00:30.803000,0 days 00:00:41.835000,0 days 00:00:23.673000,0 days 01:28:29.790000,0 days 01:29:11.625000,0 days 01:29:35.298000,235.0,259.0,278.0,291.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:27:58.965000,2024-03-02 15:31:41.396,1,2.0,False,,False,True,bahrain_2024
0 days 01:31:11.314000,PER,11,0 days 00:01:36.038000,19.0,2.0,,,0 days 00:00:30.702000,0 days 00:00:41.633000,0 days 00:00:23.703000,0 days 01:30:06,0 days 01:30:47.633000,0 days 01:31:11.336000,236.0,254.0,278.0,298.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:29:35.276000,2024-03-02 15:33:17.707,1,2.0,False,,False,True,bahrain_2024
0 days 01:32:47.592000,PER,11,0 days 00:01:36.278000,20.0,2.0,,,0 days 00:00:30.918000,0 days 00:00:41.686000,0 days 00:00:23.674000,0 days 01:31:42.254000,0 days 01:32:23.940000,0 days 01:32:47.614000,230.0,260.0,278.0,298.0,False,HARD,8.0,True,Red Bull Racing,0 days 01:31:11.314000,2024-03-02 15:34:53.745,1,2.0,False,,False,True,bahrain_2024
0 days 01:34:23.757000,PER,11,0 days 00:01:36.165000,21.0,2.0,,,0 days 00:00:30.849000,0 days 00:00:41.610000,0 days 00:00:23.706000,0 days 01:33:18.463000,0 days 01:34:00.073000,0 days 01:34:23.779000,230.0,263.0,277.0,298.0,False,HARD,9.0,True,Red Bull Racing,0 days 01:32:47.592000,2024-03-02 15:36:30.023,1,2.0,False,,False,True,bahrain_2024
